bioproject,study,biosample,sample,experiment,run,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
PRJNA428596,,SAMN08709253,,SRX3788610,SRR6832432,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709254,,SRX3788609,SRR6832433,S,,S,,,,S,R,S,S,,,,S,S
PRJNA428596,,SAMN08709255,,SRX3788608,SRR6832434,S,,S,,,,R,R,R,R,,,,R,R
PRJNA428596,,SAMN08709256,,SRX3788607,SRR6832435,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709257,,SRX3788606,SRR6832436,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709258,,SRX3788605,SRR6832437,S,,S,,,,R,R,S,S,,,,R,R
PRJNA428596,,SAMN08709259,,SRX3788604,SRR6832438,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709260,,SRX3788603,SRR6832439,S,,S,,,,R,R,S,S,,S,S,S,S
PRJNA428596,,SAMN08709261,,SRX3788612,SRR6832430,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709262,,SRX3788611,SRR6832431,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709263,,SRX3788613,SRR6832429,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709264,,SRX3788616,SRR6832426,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709265,,SRX3788497,SRR6832545,S,,S,,,,R,R,S,S,,S,R,R,S
PRJNA428596,,SAMN08709266,,SRX3788625,SRR6832417,S,,S,,,,S,S,S,S,,S,R,S,R
PRJNA428596,,SAMN08709267,,SRX3788626,SRR6832416,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709268,,SRX3788627,SRR6832415,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709269,,SRX3788628,SRR6832414,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709270,,SRX3788629,SRR6832413,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709271,,SRX3788947,SRR6832629,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709272,,SRX3788416,SRR6832626,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709273,,SRX3788912,SRR6832665,S,,S,,,,S,R,R,S,,S,S,R,S
PRJNA428596,,SAMN08709274,,SRX3788913,SRR6832664,S,,S,,,,S,R,S,S,,S,S,S,R
PRJNA428596,,SAMN08709275,,SRX3788910,SRR6832667,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709276,,SRX3788911,SRR6832666,S,,S,,,,S,S,S,S,,S,R,S,S
