run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifampicin,streptomycin,thioacetazone
SRR6981970,S,,PRJNA428596,SAMN08913254,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981971,S,,PRJNA428596,SAMN08912928,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981972,S,,,,S,,,,,,,,R,S,,,S,S,,S,S,,
SRR6981973,S,,PRJNA428596,SAMN08913251,S,,,,,,,,S,S,,,S,S,,S,R,,
SRR6981974,S,,PRJNA428596,SAMN08913250,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981975,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981976,S,,PRJNA428596,SAMN08913252,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981977,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981978,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981979,S,,PRJNA428596,SAMN08913207,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981980,S,,PRJNA428596,SAMN08913206,S,,,,,,,,R,S,,,S,S,,S,S,,
SRR6981981,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981982,S,,PRJNA428596,SAMN08913204,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981983,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981984,S,,PRJNA428596,SAMN08913202,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981985,S,,PRJNA428596,SAMN08913201,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981986,S,,PRJNA428596,SAMN08913200,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981987,S,,PRJNA428596,SAMN08913306,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981988,S,,PRJNA428596,SAMN08913209,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981989,S,,PRJNA428596,SAMN08913208,S,,,,,,,,R,S,,,S,S,,S,S,,
SRR6981990,S,,PRJNA428596,SAMN08913019,S,,,,,,,,R,S,,,S,S,,S,S,,
SRR6981991,S,,PRJNA428596,SAMN08913018,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981992,S,,PRJNA428596,SAMN08913017,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981993,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981994,S,,PRJNA428596,SAMN08913015,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981995,S,,PRJNA428596,SAMN08913014,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981996,S,,PRJNA428596,SAMN08913013,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981997,S,,PRJNA428596,SAMN08913012,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981998,S,,PRJNA428596,SAMN08913011,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6981999,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982000,S,,PRJNA428596,SAMN08913308,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982001,S,,PRJNA428596,SAMN08913154,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982002,S,,PRJNA428596,SAMN08913155,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982003,S,,PRJNA428596,SAMN08913156,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982004,S,,PRJNA428596,SAMN08912949,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982005,S,,PRJNA428596,SAMN08912948,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982006,S,,PRJNA428596,SAMN08913157,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982007,S,,PRJNA428596,SAMN08912943,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982008,S,,PRJNA428596,SAMN08912942,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982009,S,,PRJNA428596,SAMN08912941,S,,,,,,,,R,S,,,S,S,,S,S,,
SRR6982010,S,,PRJNA428596,SAMN08912940,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982011,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982012,S,,PRJNA428596,SAMN08912946,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982013,S,,PRJNA428596,SAMN08912945,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6982014,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
