#Sample.sample_id,Isolate.isolate_id,Seqrep.ena_run_accession,Isolate.ena_experiment_accession,Sample.ena_sample_accession,Sample.ena_study_accession,Pipeline_output,vcf
29156,29156,SRR6045455,None,SAMN07660002,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/56/29156,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29158,29158,SRR6045309,None,SAMN07660005,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/58/29158,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29159,29159,SRR6046613,None,SAMN07660009,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/59/29159,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29160,29160,SRR6044964,None,SAMN07660011,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/60/29160,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29161,29161,SRR6045991,None,SAMN07660012,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/61/29161,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29162,29162,SRR6045696,None,SAMN07660014,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/62/29162,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29163,29163,SRR6046639,None,SAMN07660015,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/63/29163,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29164,29164,SRR6045833,None,SAMN07660017,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/64/29164,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29166,29166,SRR6046484,None,SAMN07660020,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/66/29166,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29167,29167,SRR6045163,None,SAMN07660022,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/67/29167,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29168,29168,SRR6045805,None,SAMN07660028,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/68/29168,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29169,29169,SRR6045715,None,SAMN07660031,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/69/29169,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29170,29170,SRR6045781,None,SAMN07660040,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/70/29170,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29171,29171,SRR6044896,None,SAMN07660043,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/71/29171,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29172,29172,SRR6046002,None,SAMN07660044,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/72/29172,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
